model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_1_AutoML_7_20251201_143401,0.5831428571428571,0.8441913802409184,0.5923108755585582,0.492957356076759,0.5565723765959874,0.3097728103897055
GBM_4_AutoML_7_20251201_143401,0.5368869936034115,0.8405950001992312,0.5827990035222976,0.4941002132196162,0.5525582060429886,0.3053205710654458
GBM_grid_1_AutoML_7_20251201_143401_model_1,0.5357000710732054,0.7450144617911246,0.5721149759434975,0.4960668088130774,0.521911940695266,0.2723920738402989
GBM_2_AutoML_7_20251201_143401,0.5247818052594172,0.73645188335216,0.5663248407589911,0.4660973702914002,0.5173341699682233,0.2676346434167106
DRF_1_AutoML_7_20251201_143401,0.5093972992181948,0.7640995088806628,0.5368807868303623,0.4979829424307036,0.5301087911655413,0.2810153304709915
XRT_1_AutoML_7_20251201_143401,0.4988884150675196,0.8512917538985149,0.5196998396617045,0.5,0.5552562766711081,0.3083095327826622
GLM_1_AutoML_7_20251201_143401,0.491773276474769,0.6932302263200145,0.5456492172581331,0.5,0.5000427633532356,0.25004276518194
GBM_3_AutoML_7_20251201_143401,0.4905486851457001,0.8761177523130158,0.5374465894990894,0.4993781094527363,0.5666861047153061,0.3211331412774069
GBM_5_AutoML_7_20251201_143401,0.4780710732054015,0.7763134706901326,0.4756734022499219,0.4779978678038379,0.5330395425828952,0.2841311539569821
DeepLearning_1_AutoML_7_20251201_143401,0.4533731343283582,0.7337875551344093,0.5043382433170199,0.5,0.5161502581006074,0.2664110889373236
