Scenario,Accuracy,F1
Baseline (Simple Fill),0.4879765395894428,0.3983459682977257
Smart Imputation,0.48217416715371125,0.38386648122392214
Outlier Removal,0.47971667739858337,0.4813863928112965
Scaled Data,0.5037989479836353,0.6397963512940178
All Combined,0.5183515775917579,0.6307996051332675
