Scenario,Accuracy,F1
Baseline (Simple Fill),0.8598240469208212,0.8773730118009235
Smart Imputation,0.869666861484512,0.8855823499230374
Outlier Removal,0.8699291693496458,0.8872767857142857
Scaled Data,0.8918760958503799,0.8973932334997227
All Combined,0.901481004507405,0.9119170984455959
